,0,1,2,3,4,5,6,7,8
0,58,0,0,0,0,0,0,0,0
1,60,28,23,7,0,0,0,0,0
2,99,76,106,11,0,0,0,0,0
3,99,76,106,11,0,0,0,0,0
4,99,76,106,11,0,0,0,0,0
5,74,46,0,0,0,0,0,0,0
6,143,7,23,46,0,0,0,0,0
7,143,7,23,46,0,0,0,0,0
8,20,84,17,25,107,271,272,4,0
9,174,107,159,54,0,0,0,0,0
10,77,51,25,172,55,16,107,173,3
11,107,174,2,3,76,175,58,103,176
12,38,0,0,0,0,0,0,0,0
13,107,174,2,3,25,0,0,0,0
14,20,28,45,214,0,0,0,0,0
15,102,106,11,7,0,0,0,0,0
16,98,20,50,4,0,0,0,0,0
17,83,11,0,0,0,0,0,0,0
18,83,11,0,0,0,0,0,0,0
19,20,256,16,10,0,0,0,0,0
20,80,83,11,0,0,0,0,0,0
21,28,60,0,0,0,0,0,0,0
22,28,60,0,0,0,0,0,0,0
23,28,60,0,0,0,0,0,0,0
24,130,77,216,0,0,0,0,0,0
25,142,80,56,0,0,0,0,0,0
26,46,74,67,0,0,0,0,0,0
27,79,28,7,0,0,0,0,0,0
28,20,74,0,0,0,0,0,0,0
29,80,0,0,0,0,0,0,0,0
30,50,35,24,0,0,0,0,0,0
31,136,28,77,204,0,0,0,0,0
32,130,216,8,0,0,0,0,0,0
33,28,41,0,0,0,0,0,0,0
34,20,76,13,0,0,0,0,0,0
35,9,257,258,259,260,0,0,0,0
36,142,85,98,20,0,0,0,0,0
37,11,51,0,0,0,0,0,0,0
38,142,76,75,32,0,0,0,0,0
39,59,80,0,0,0,0,0,0,0
40,59,80,0,0,0,0,0,0,0
41,20,191,16,0,0,0,0,0,0
42,29,40,35,41,50,98,0,0,0
43,29,40,35,41,50,98,0,0,0
44,31,50,28,0,0,0,0,0,0
45,101,100,0,0,0,0,0,0,0
46,147,76,56,0,0,0,0,0,0
47,50,31,0,0,0,0,0,0,0
48,143,9,5,144,1,12,0,0,0
49,143,9,5,144,1,12,0,0,0
50,207,144,5,12,143,6,9,7,0
51,142,56,80,0,0,0,0,0,0
52,20,13,66,0,0,0,0,0,0
53,60,68,28,142,56,0,0,0,0
54,20,112,21,194,0,0,0,0,0
55,166,60,79,243,0,0,0,0,0
56,124,20,23,60,46,0,0,0,0
57,124,20,23,60,46,0,0,0,0
58,28,39,8,34,0,0,0,0,0
59,6,92,116,0,0,0,0,0,0
60,97,95,28,0,0,0,0,0,0
61,28,0,0,0,0,0,0,0,0
62,101,129,0,0,0,0,0,0,0
63,143,64,77,0,0,0,0,0,0
64,86,83,4,77,91,0,0,0,0
65,80,60,20,23,0,0,0,0,0
66,80,50,24,20,0,0,0,0,0
67,41,50,0,0,0,0,0,0,0
68,41,50,0,0,0,0,0,0,0
69,28,99,20,50,31,41,0,0,0
70,28,99,20,50,31,41,0,0,0
71,98,28,24,29,31,185,0,0,0
72,98,28,24,29,31,185,0,0,0
73,28,60,31,41,185,40,0,0,0
74,24,185,28,0,0,0,0,0,0
75,24,185,28,0,0,0,0,0,0
76,20,28,50,141,99,0,0,0,0
77,20,28,50,141,99,0,0,0,0
78,130,23,22,0,0,0,0,0,0
79,28,29,0,0,0,0,0,0,0
80,28,29,0,0,0,0,0,0,0
81,85,0,0,0,0,0,0,0,0
82,85,0,0,0,0,0,0,0,0
83,6,0,0,0,0,0,0,0,0
84,20,60,74,28,0,0,0,0,0
85,20,60,74,28,0,0,0,0,0
86,4,26,58,76,0,0,0,0,0
87,7,77,175,98,124,0,0,0,0
88,29,33,40,60,0,0,0,0,0
89,28,31,20,99,0,0,0,0,0
90,28,30,41,31,0,0,0,0,0
91,146,28,24,0,0,0,0,0,0
92,124,24,0,0,0,0,0,0,0
93,129,20,81,220,0,0,0,0,0
94,124,5,8,0,0,0,0,0,0
95,149,56,20,76,0,0,0,0,0
96,46,74,0,0,0,0,0,0,0
97,95,171,0,0,0,0,0,0,0
98,146,184,230,60,46,47,49,99,20
99,232,206,0,0,0,0,0,0,0
100,28,35,0,0,0,0,0,0,0
101,20,19,68,0,0,0,0,0,0
102,59,99,56,20,199,0,0,0,0
103,13,45,28,0,0,0,0,0,0
104,142,80,130,193,0,0,0,0,0
105,59,0,0,0,0,0,0,0,0
106,59,0,0,0,0,0,0,0,0
107,76,28,20,0,0,0,0,0,0
108,76,28,20,0,0,0,0,0,0
109,59,99,56,20,199,0,0,0,0
110,59,99,56,20,199,0,0,0,0
111,59,99,56,20,199,0,0,0,0
112,158,6,79,245,0,0,0,0,0
113,77,75,79,0,0,0,0,0,0
114,77,28,0,0,0,0,0,0,0
115,20,50,0,0,0,0,0,0,0
116,28,99,0,0,0,0,0,0,0
117,41,50,0,0,0,0,0,0,0
118,32,140,0,0,0,0,0,0,0
119,32,28,77,0,0,0,0,0,0
120,41,20,28,0,0,0,0,0,0
121,77,28,0,0,0,0,0,0,0
122,28,51,0,0,0,0,0,0,0
123,28,51,0,0,0,0,0,0,0
124,28,51,0,0,0,0,0,0,0
125,58,0,0,0,0,0,0,0,0
126,74,29,77,46,76,23,0,0,0
127,20,143,162,74,29,0,0,0,0
128,60,46,49,74,7,23,0,0,0
129,20,13,60,0,0,0,0,0,0
130,20,60,0,0,0,0,0,0,0
131,69,71,66,0,0,0,0,0,0
132,76,21,28,0,0,0,0,0,0
133,76,21,28,0,0,0,0,0,0
134,76,21,28,0,0,0,0,0,0
135,76,21,28,0,0,0,0,0,0
136,20,60,28,67,0,0,0,0,0
137,84,126,0,0,0,0,0,0,0
138,31,41,28,77,74,0,0,0,0
139,180,60,13,0,0,0,0,0,0
140,20,202,100,0,0,0,0,0,0
141,208,20,0,0,0,0,0,0,0
142,208,20,0,0,0,0,0,0,0
143,208,20,0,0,0,0,0,0,0
144,28,0,0,0,0,0,0,0,0
145,143,6,5,144,207,0,0,0,0
146,11,262,0,0,0,0,0,0,0
147,136,77,80,0,0,0,0,0,0
148,20,197,142,45,0,0,0,0,0
149,76,4,26,0,0,0,0,0,0
150,213,0,0,0,0,0,0,0,0
151,243,75,77,23,0,0,0,0,0
152,98,96,77,24,28,0,0,0,0
153,136,77,175,0,0,0,0,0,0
154,98,77,79,0,0,0,0,0,0
155,1,215,144,5,0,0,0,0,0
156,1,215,144,5,0,0,0,0,0
157,1,215,144,5,0,0,0,0,0
158,1,215,144,5,0,0,0,0,0
159,1,215,144,5,0,0,0,0,0
160,1,215,144,5,0,0,0,0,0
161,1,215,144,5,0,0,0,0,0
162,1,215,144,5,0,0,0,0,0
163,97,20,13,0,0,0,0,0,0
164,97,20,13,0,0,0,0,0,0
165,46,48,49,47,277,233,20,77,0
166,98,0,0,0,0,0,0,0,0
167,98,10,20,106,8,11,0,0,0
168,20,52,33,56,0,0,0,0,0
169,50,0,0,0,0,0,0,0,0
170,50,0,0,0,0,0,0,0,0
171,8,206,51,52,0,0,0,0,0
172,50,35,24,0,0,0,0,0,0
173,8,0,0,0,0,0,0,0,0
174,29,40,35,41,50,98,0,0,0
175,142,76,75,32,0,0,0,0,0
176,142,76,75,32,0,0,0,0,0
177,142,76,75,32,0,0,0,0,0
178,142,76,75,32,0,0,0,0,0
179,142,76,75,32,0,0,0,0,0
180,131,99,100,20,0,0,0,0,0
181,28,3,50,0,0,0,0,0,0
182,207,144,5,12,143,6,9,7,0
183,142,80,145,138,0,0,0,0,0
184,142,80,145,138,0,0,0,0,0
185,28,99,20,50,31,41,0,0,0
186,20,28,50,141,99,0,0,0,0
187,85,0,0,0,0,0,0,0,0
188,142,85,98,20,0,0,0,0,0
189,7,0,0,0,0,0,0,0,0
190,59,0,0,0,0,0,0,0,0
191,59,0,0,0,0,0,0,0,0
192,28,35,0,0,0,0,0,0,0
193,28,99,0,0,0,0,0,0,0
194,28,99,0,0,0,0,0,0,0
195,59,99,56,20,199,0,0,0,0
196,59,99,56,20,199,0,0,0,0
197,59,99,56,20,199,0,0,0,0
198,28,51,0,0,0,0,0,0,0
199,101,23,11,0,0,0,0,0,0
200,76,21,28,0,0,0,0,0,0
201,143,6,0,0,0,0,0,0,0
202,6,106,0,0,0,0,0,0,0
203,98,7,46,0,0,0,0,0,0
204,20,76,0,0,0,0,0,0,0
205,1,215,144,5,0,0,0,0,0
206,1,215,144,5,0,0,0,0,0
207,1,215,144,5,0,0,0,0,0
208,20,60,28,136,0,0,0,0,0
209,28,99,0,0,0,0,0,0,0
210,20,19,68,0,0,0,0,0,0
